segment_id,new_segment_id,distance_m,speed_limit_kph,street_name,metric_time_set,speed_kph,route_id,time_set_raw,time_set,route_name,sample_size,travel_time_ratio_vs_am
258400000130508,0000554d-4100-0400-0000-0000000c534b,2739.86,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,28.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2764,
258400000309510,0000554d-4100-0400-0000-0000000c5367,2796.25,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,34.3,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2656,
258400000284124,0000554d-4100-0400-0000-0000000c383a,2863.51,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,33.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2577,
258400000242906,0000554d-4100-0400-0000-0000000c383f,2904.25,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,35.8,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2514,
258400000020296,0000554d-4100-0400-0000-0000000c384a,2963.27,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,31.7,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2369,
258400000151797,0000554d-4100-0400-0000-0000000c3853,3015.34,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,24.8,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2484,
258400000158594,0000554d-4100-0400-0000-0000000c385e,3062.77,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,27.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2646,
258400000731049,a87a569c-aae5-4d8f-9784-618588118f02,3127.88,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,30.4,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2383,
258400000731215,d48cc0ba-c8cc-4af9-ac64-809e3572bb2f,3138.39,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,30.1,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2373,
258400001322093,c8cc906f-2ca2-4803-9526-db30f7a1fede,3153.23,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,29.1,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2366,
258400001313081,993ae7c2-5c16-4749-9a87-d65c3e5f9d08,3183.76,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,27.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2369,
258400000324268,0000554d-4100-0400-0000-0000000c388b,3265.04,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,16.7,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2483,
258400001317506,af74d40c-8ce6-4310-8278-a9c06bcdf659,3305.91,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,25.8,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2536,
258400001320852,a4963995-ec07-4579-8dd7-f1f854d50901,3317.24,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,22.5,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2551,
258400000309763,0000554d-4100-0400-0000-0000000c38a5,3354.01,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,24.5,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2777,
258400000080431,0000554d-4100-0400-0000-0000000c38b2,3438.37,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,28.3,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2369,
258400001242046,9d6a4aed-796d-4660-8e04-7257a8daaab4,3500.17,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,22.0,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2213,
