source_workbook,source_sheet,route_name,time_set,date,travel_time,speed,sample_size
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000210905,Route1-Speeds(arithmetic avg),,258400000210905.0,258400000210905.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000462436,Route1-Speeds(arithmetic avg),,258400000462436.0,258400000462436.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000208203,Route1-Speeds(arithmetic avg),,258400000208203.0,258400000208203.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001243986,Route1-Speeds(arithmetic avg),,258400001243986.0,258400001243986.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001238896,Route1-Speeds(arithmetic avg),,258400001238896.0,258400001238896.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000718650,Route1-Speeds(arithmetic avg),,258400000718650.0,258400000718650.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000718387,Route1-Speeds(arithmetic avg),,258400000718387.0,258400000718387.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000392626,Route1-Speeds(arithmetic avg),,258400000392626.0,258400000392626.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000694435,Route1-Speeds(arithmetic avg),,258400000694435.0,258400000694435.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000694436,Route1-Speeds(arithmetic avg),,258400000694436.0,258400000694436.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000264983,Route1-Speeds(arithmetic avg),,258400000264983.0,258400000264983.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000185219,Route1-Speeds(arithmetic avg),,258400000185219.0,258400000185219.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000130508,Route1-Speeds(arithmetic avg),,258400000130508.0,258400000130508.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000309510,Route1-Speeds(arithmetic avg),,258400000309510.0,258400000309510.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000284124,Route1-Speeds(arithmetic avg),,258400000284124.0,258400000284124.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000242906,Route1-Speeds(arithmetic avg),,258400000242906.0,258400000242906.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000020296,Route1-Speeds(arithmetic avg),,258400000020296.0,258400000020296.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000151797,Route1-Speeds(arithmetic avg),,258400000151797.0,258400000151797.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000158594,Route1-Speeds(arithmetic avg),,258400000158594.0,258400000158594.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000731049,Route1-Speeds(arithmetic avg),,258400000731049.0,258400000731049.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000731215,Route1-Speeds(arithmetic avg),,258400000731215.0,258400000731215.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001322093,Route1-Speeds(arithmetic avg),,258400001322093.0,258400001322093.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001313081,Route1-Speeds(arithmetic avg),,258400001313081.0,258400001313081.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000324268,Route1-Speeds(arithmetic avg),,258400000324268.0,258400000324268.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001317506,Route1-Speeds(arithmetic avg),,258400001317506.0,258400001317506.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001320852,Route1-Speeds(arithmetic avg),,258400001320852.0,258400001320852.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000309763,Route1-Speeds(arithmetic avg),,258400000309763.0,258400000309763.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400000080431,Route1-Speeds(arithmetic avg),,258400000080431.0,258400000080431.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001242046,Route1-Speeds(arithmetic avg),,258400001242046.0,258400001242046.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001243985,Route1-Speeds(arithmetic avg),,258400001243985.0,258400001243985.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001238412,Route1-Speeds(arithmetic avg),,258400001238412.0,258400001238412.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001241924,Route1-Speeds(arithmetic avg),,258400001241924.0,258400001241924.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001365166,Route1-Speeds(arithmetic avg),,258400001365166.0,258400001365166.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001362685,Route1-Speeds(arithmetic avg),,258400001362685.0,258400001362685.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001351044,Route1-Speeds(arithmetic avg),,258400001351044.0,258400001351044.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(arithmetic avg),258400001349315,Route1-Speeds(arithmetic avg),,258400001349315.0,258400001349315.0,
